table,fieldName,description,dataType,units,downloadPkg
dpsd_30_minutes,PM10sub50RHalphaQM,"Quality metric detailing the outcomes of the alpha quality flag for PM10 at RH <50% over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_30_minutes,PM10sub50RHbetaQM,"Quality metric detailing the outcomes of the beta quality flag for PM10 at RH <50% over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_30_minutes,PM10sub50RHfinalQF,"Quality flag indicating whether the PM10 at RH <50% data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
dpsd_30_minutes,PM10sub50RHfinalQFSciRvw,"PM10 at RH <50% quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
dpsd_30_minutes,PM4sub50RHMedian,"Median of particulate matter 4 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM4sub50RHMinimum,"Minimum particulate matter 4 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM4sub50RHMaximum,"Maximum particulate matter 4 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM4sub50RHNumPts,"Number of points used to calculate the Median of particulate matter 4 measured at <50% relative humidity",real,number,basic
dpsd_30_minutes,PM4sub50RHMAD,"Median Absolute Deviation (from the median) for particulate matter 4 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM4sub50RHrangeFailQM,"Quality metric that summarizes the failed outcomes of the range test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHrangePassQM,"Quality metric that summarizes the passed outcomes of the range test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHrangeNAQM,"Quality metric that summarizes when the range test for PM4 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHpersistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHpersistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHpersistenceNAQM,"Quality metric that summarizes when the persistence test for PM4 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHstepFailQM,"Quality metric that summarizes the failed outcomes of the step test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHstepPassQM,"Quality metric that summarizes the passed outcomes of the step test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHstepNAQM,"Quality metric that summarizes when the step test for PM4 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHnullFailQM,"Quality metric that summarizes the failed outcomes of the null test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHnullPassQM,"Quality metric that summarizes the passed outcomes of the null test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHnullNAQM,"Quality metric that summarizes when the null test for PM4 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHgapFailQM,"Quality metric that summarizes the failed outcomes of the gap test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHgapPassQM,"Quality metric that summarizes the passed outcomes of the gap test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHgapNAQM,"Quality metric that summarizes when the gap test for PM4 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHspikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHspikePassQM,"Quality metric that summarizes the passed outcomes of the spike test for PM4 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHspikeNAQM,"Quality metric that summarizes when the spike test for PM4 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM4sub50RHalphaQM,"Quality metric detailing the outcomes of the alpha quality flag for PM4 at RH <50% over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_30_minutes,PM4sub50RHbetaQM,"Quality metric detailing the outcomes of the beta quality flag for PM4 at RH <50% over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_30_minutes,PM4sub50RHfinalQF,"Quality flag indicating whether the PM4 at RH <50% data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
dpsd_30_minutes,PM4sub50RHfinalQFSciRvw,"PM4 at RH <50% quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
dpsd_30_minutes,PM2.5sub50RHMedian,"Median of particulate matter 2.5 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM2.5sub50RHMinimum,"Minimum particulate matter 2.5 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM2.5sub50RHMaximum,"Maximum particulate matter 2.5 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM2.5sub50RHNumPts,"Number of points used to calculate the Median of particulate matter 2.5 measured at <50% relative humidity",real,number,basic
dpsd_30_minutes,PM2.5sub50RHMAD,"Median Absolute Deviation (from the median) for particulate matter 2.5 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM2.5sub50RHrangeFailQM,"Quality metric that summarizes the failed outcomes of the range test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHrangePassQM,"Quality metric that summarizes the passed outcomes of the range test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHrangeNAQM,"Quality metric that summarizes when the range test for PM2.5 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHpersistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHpersistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHpersistenceNAQM,"Quality metric that summarizes when the persistence test for PM2.5 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHstepFailQM,"Quality metric that summarizes the failed outcomes of the step test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHstepPassQM,"Quality metric that summarizes the passed outcomes of the step test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHstepNAQM,"Quality metric that summarizes when the step test for PM2.5 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHnullFailQM,"Quality metric that summarizes the failed outcomes of the null test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHnullPassQM,"Quality metric that summarizes the passed outcomes of the null test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHnullNAQM,"Quality metric that summarizes when the null test for PM2.5 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHgapFailQM,"Quality metric that summarizes the failed outcomes of the gap test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHgapPassQM,"Quality metric that summarizes the passed outcomes of the gap test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHgapNAQM,"Quality metric that summarizes when the gap test for PM2.5 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHspikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHspikePassQM,"Quality metric that summarizes the passed outcomes of the spike test for PM2.5 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHspikeNAQM,"Quality metric that summarizes when the spike test for PM2.5 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHalphaQM,"Quality metric detailing the outcomes of the alpha quality flag for PM2.5 at RH <50% over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHbetaQM,"Quality metric detailing the outcomes of the beta quality flag for PM2.5 at RH <50% over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_30_minutes,PM2.5sub50RHfinalQF,"Quality flag indicating whether the PM2.5 at RH <50% data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
dpsd_30_minutes,PM2.5sub50RHfinalQFSciRvw,"PM2.5 at RH <50% quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
dpsd_30_minutes,PM1sub50RHMedian,"Median of particulate matter 1 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM1sub50RHMinimum,"Minimum particulate matter 1 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM1sub50RHMaximum,"Maximum particulate matter 1 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM1sub50RHNumPts,"Number of points used to calculate the Median of particulate matter 1 measured at <50% relative humidity",real,number,basic
dpsd_30_minutes,PM1sub50RHMAD,"Median Absolute Deviation (from the median) for particulate matter 1 measured at <50% relative humidity",real,milligramsPerCubicMeter,basic
dpsd_30_minutes,PM1sub50RHrangeFailQM,"Quality metric that summarizes the failed outcomes of the range test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHrangePassQM,"Quality metric that summarizes the passed outcomes of the range test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHrangeNAQM,"Quality metric that summarizes when the range test for PM1 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHpersistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHpersistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHpersistenceNAQM,"Quality metric that summarizes when the persistence test for PM1 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHstepFailQM,"Quality metric that summarizes the failed outcomes of the step test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHstepPassQM,"Quality metric that summarizes the passed outcomes of the step test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHstepNAQM,"Quality metric that summarizes when the step test for PM1 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHnullFailQM,"Quality metric that summarizes the failed outcomes of the null test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHnullPassQM,"Quality metric that summarizes the passed outcomes of the null test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHnullNAQM,"Quality metric that summarizes when the null test for PM1 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHgapFailQM,"Quality metric that summarizes the failed outcomes of the gap test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHgapPassQM,"Quality metric that summarizes the passed outcomes of the gap test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHgapNAQM,"Quality metric that summarizes when the gap test for PM1 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHspikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHspikePassQM,"Quality metric that summarizes the passed outcomes of the spike test for PM1 at RH <50% over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHspikeNAQM,"Quality metric that summarizes when the spike test for PM1 at RH <50% could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,PM1sub50RHalphaQM,"Quality metric detailing the outcomes of the alpha quality flag for PM1 at RH <50% over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_30_minutes,PM1sub50RHbetaQM,"Quality metric detailing the outcomes of the beta quality flag for PM1 at RH <50% over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_30_minutes,PM1sub50RHfinalQF,"Quality flag indicating whether the PM1 at RH <50% data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
dpsd_30_minutes,PM1sub50RHfinalQFSciRvw,"PM1 at RH <50% quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
dpsd_30_minutes,sensorFlowRateFailQM,"Quality metric that summarizes the failed outcomes of the sensor flow rate test over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,sensorFlowRatePassQM,"Quality metric that summarizes the passed outcomes of the sensor flow rate test over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,sensorFlowRateNAQM,"Quality metric that summarizes when the sensor flow rate test could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,assemblyFlowRateFailQM,"Quality metric that summarizes the failed outcomes of the assembly flow rate test over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,assemblyFlowRatePassQM,"Quality metric that summarizes the passed outcomes of the assembly flow rate test over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,assemblyFlowRateNAQM,"Quality metric that summarizes when the assembly flow rate test could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,measurementValidityFailQM,"Quality metric that summarizes the failed outcomes of the measurement validity test over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,measurementValidityPassQM,"Quality metric that summarizes the passed outcomes of the measurement validity test over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,measurementValidityNAQM,"Quality metric that summarizes when the measurement validity test could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,validCalFailQM,"Quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,validCalPassQM,"Quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
dpsd_30_minutes,validCalNAQM,"Quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic
dpsd_60_minutes,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic
dpsd_60_minutes,PM15Median,"Median particulate matter 15",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM15Minimum,"Minimum particulate matter 15",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM15Maximum,"Maximum particulate matter 15",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM15NumPts,"Number of points used to calculate the Median particulate matter 15",real,number,basic
dpsd_60_minutes,PM15MAD,"Median Absolute Deviation (from the median) for particulate matter 15",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM15rangeFailQM,"Quality metric that summarizes the failed outcomes of the range test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15rangePassQM,"Quality metric that summarizes the passed outcomes of the range test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15rangeNAQM,"Quality metric that summarizes when the range test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15persistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15persistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15persistenceNAQM,"Quality metric that summarizes when the persistence test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15stepFailQM,"Quality metric that summarizes the failed outcomes of the step test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15stepPassQM,"Quality metric that summarizes the passed outcomes of the step test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15stepNAQM,"Quality metric that summarizes when the step test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15nullFailQM,"Quality metric that summarizes the failed outcomes of the null test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15nullPassQM,"Quality metric that summarizes the passed outcomes of the null test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15nullNAQM,"Quality metric that summarizes when the null test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15gapFailQM,"Quality metric that summarizes the failed outcomes of the gap test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15gapPassQM,"Quality metric that summarizes the passed outcomes of the gap test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15gapNAQM,"Quality metric that summarizes when the gap test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15spikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15spikePassQM,"Quality metric that summarizes the passed outcomes of the spike test for particulate matter 15 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15spikeNAQM,"Quality metric that summarizes when the spike test for particulate matter 15 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM15alphaQM,"Quality metric detailing the outcomes of the alpha quality flag for particulate matter 15 over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_60_minutes,PM15betaQM,"Quality metric detailing the outcomes of the beta quality flag for particulate matter 15 over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_60_minutes,PM15finalQF,"Quality flag indicating whether the PM15 data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
dpsd_60_minutes,PM15finalQFSciRvw,"Particulate matter 15 quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
dpsd_60_minutes,PM10Median,"Median particulate matter 10",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM10Minimum,"Minimum particulate matter 10",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM10Maximum,"Maximum particulate matter 10",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM10NumPts,"Number of points used to calculate the Median particulate matter 10",real,number,basic
dpsd_60_minutes,PM10MAD,"Median Absolute Deviation (from the median) for particulate matter 10",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM10rangeFailQM,"Quality metric that summarizes the failed outcomes of the range test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10rangePassQM,"Quality metric that summarizes the passed outcomes of the range test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10rangeNAQM,"Quality metric that summarizes when the range test for particulate matter 10 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10persistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10persistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10persistenceNAQM,"Quality metric that summarizes when the persistence test for particulate matter 10 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10stepFailQM,"Quality metric that summarizes the failed outcomes of the step test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10stepPassQM,"Quality metric that summarizes the passed outcomes of the step test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10stepNAQM,"Quality metric that summarizes when the step test for particulate matter 10 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10nullFailQM,"Quality metric that summarizes the failed outcomes of the null test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10nullPassQM,"Quality metric that summarizes the passed outcomes of the null test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10nullNAQM,"Quality metric that summarizes when the null test for particulate matter 10 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10gapFailQM,"Quality metric that summarizes the failed outcomes of the gap test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10gapPassQM,"Quality metric that summarizes the passed outcomes of the gap test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10gapNAQM,"Quality metric that summarizes when the gap test for particulate matter 10 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10spikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10spikePassQM,"Quality metric that summarizes the passed outcomes of the spike test for particulate matter 10 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10spikeNAQM,"Quality metric that summarizes when the spike test for particulate matter 10 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM10alphaQM,"Quality metric detailing the outcomes of the alpha quality flag for particulate matter 10 over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_60_minutes,PM10betaQM,"Quality metric detailing the outcomes of the beta quality flag for particulate matter 10 over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_60_minutes,PM10finalQF,"Quality flag indicating whether the PM10 data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
dpsd_60_minutes,PM10finalQFSciRvw,"Particulate matter 10 quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
dpsd_60_minutes,PM4Median,"Median particulate matter 4",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM4Minimum,"Minimum particulate matter 4",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM4Maximum,"Maximum particulate matter 4",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM4NumPts,"Number of points used to calculate the Median particulate matter 4",real,number,basic
dpsd_60_minutes,PM4MAD,"Median Absolute Deviation (from the median) for particulate matter 4",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM4rangeFailQM,"Quality metric that summarizes the failed outcomes of the range test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4rangePassQM,"Quality metric that summarizes the passed outcomes of the range test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4rangeNAQM,"Quality metric that summarizes when the range test for particulate matter 4 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4persistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4persistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4persistenceNAQM,"Quality metric that summarizes when the persistence test for particulate matter 4 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4stepFailQM,"Quality metric that summarizes the failed outcomes of the step test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4stepPassQM,"Quality metric that summarizes the passed outcomes of the step test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4stepNAQM,"Quality metric that summarizes when the step test for particulate matter 4 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4nullFailQM,"Quality metric that summarizes the failed outcomes of the null test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4nullPassQM,"Quality metric that summarizes the passed outcomes of the null test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4nullNAQM,"Quality metric that summarizes when the null test for particulate matter 4 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4gapFailQM,"Quality metric that summarizes the failed outcomes of the gap test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4gapPassQM,"Quality metric that summarizes the passed outcomes of the gap test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4gapNAQM,"Quality metric that summarizes when the gap test for particulate matter 4 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4spikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4spikePassQM,"Quality metric that summarizes the passed outcomes of the spike test for particulate matter 4 over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4spikeNAQM,"Quality metric that summarizes when the spike test for particulate matter 4 could not be run over the averaging period, as a percent",real,percent,expanded
dpsd_60_minutes,PM4alphaQM,"Quality metric detailing the outcomes of the alpha quality flag for particulate matter 4 over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_60_minutes,PM4betaQM,"Quality metric detailing the outcomes of the beta quality flag for particulate matter 4 over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
dpsd_60_minutes,PM4finalQF,"Quality flag indicating whether the PM4 data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
dpsd_60_minutes,PM4finalQFSciRvw,"Particulate matter 4 quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
dpsd_60_minutes,PM2.5Median,"Median particulate matter 2.5",real,milligramsPerCubicMeter,basic
dpsd_60_minutes,PM2.5Minimum,"Minimum particulate matter 2.5",real,milligramsPerCubicMeter,basic
